number,surah,index,ayah_hafs,status,rasm,missing_in,written_joined_by,resegmented_in,distinct_forms,forms
56121,35,218,12,alif_variant,الٮحراں,,,,4,"ٱلۡبَحۡرَانِ [hafs,shubah,bazzi]  ||  ࡴ۬لْبَحْرَٰنِ [qalun,warsh]  ||  اِ۬لۡبَحۡرَانِ [duri]  ||  ࡵ۬لۡبَحۡرَانِ [susi]"
56362,35,459,29,alif_variant,وعلاٮٮه,,,,3,"وَعَلَانِيَةࣰ [hafs,shubah,bazzi,susi]  ||  وَعَلَٰنِيَةࣰ [qalun,warsh]  ||  وَعَلَانِيَةٗ [duri]"
56602,35,699,43,rasm_variant,السٮى,,,,5,"ٱلسَّيِّيِٕ [hafs,shubah,bazzi]  ||  ࡰ۬لسَّيِّئِے [qalun]  ||  ࡰ۬لسَّيِّےِٕ [warsh]  ||  اَ۬لسَّيِّيِٕ [duri]  ||  ࡱ۬لسَّيِّيِٕ [susi]"
56845,36,167,22,word_boundary,وما,,,bazzi|duri,1,"وَمَا [hafs,shubah,bazzi,qalun,warsh,duri,susi]"
56846,36,168,22,word_boundary,لى,,,bazzi|duri,1,"لِيَ [hafs,shubah,bazzi,qalun,warsh,duri,susi]"
56964,36,286,35,rasm_variant,عملٮه,,,,4,"عَمِلَتۡهُ [hafs,duri,susi]  ||  عَمِلَتۡ [shubah]  ||  عَمِلَتۡهُۥ [bazzi]  ||  عَمِلَتْهُ [qalun,warsh]"
57462,37,59,11,alif_variant,لارٮ,,,,3,"لَّازِبِۭ [hafs,shubah,bazzi,susi]  ||  لَّٰزِبِۢ [qalun,warsh]  ||  لَّازِبِۢ [duri]"
57749,37,346,68,rasm_variant,لالى,,,,2,"لَإِلَى [hafs,shubah,bazzi,qalun,warsh]  ||  لَإِاْلَى [duri,susi]"
58448,38,184,22,alif_variant,حصماں,,,,2,"خَصۡمَانِ [hafs,shubah,bazzi,duri,susi]  ||  خَصْمَٰنِ [qalun,warsh]"
59500,39,503,29,alif_variant,ٮسٮوٮاں,,,,2,"يَسۡتَوِيَانِ [hafs,shubah,bazzi,duri,susi]  ||  يَسْتَوِيَٰنِ [qalun,warsh]"
59548,39,551,34,rasm_variant,حرا,,,,2,"جَزَآءُ [hafs,shubah,bazzi,duri,susi]  ||  جَزَٰٓؤُاْ [qalun,warsh]"
60056,39,1059,69,rasm_variant,وحاى,,,,2,"وَجِاْيٓءَ [hafs,shubah,bazzi,duri,susi]  ||  وَجِےٓءَ [qalun,warsh]"
60370,40,201,15,alif_variant,الٮلاٯ,,,,6,"ٱلتَّلَاقِ [hafs,shubah]  ||  ٱلتَّلَاقِۦ [bazzi]  ||  ࡰ۬لتَّلَٰقِ [qalun]  ||  ࡰ۬لتَّلَٰقِۦ [warsh]  ||  اَ۬لتَّلَاقِ [duri]  ||  ࡱ۬لتَّلَاقِ [susi]"
60486,40,317,24,alif_variant,وهمں,,,,2,"وَهَٰمَٰنَ [hafs,shubah,bazzi,duri,susi]  ||  وَهَامَٰنَ [qalun,warsh]"
60487,40,318,24,alif_variant,وڡروں,,,,2,"وَقَٰرُونَ [hafs,shubah,bazzi,duri,susi]  ||  وَقَارُونَ [qalun,warsh]"
60522,40,353,26,partial,او,warsh|qalun|duri|susi|bazzi,,,1,"أَوۡ [hafs,shubah]"
60523,40,354,26,rasm_variant,واں,,,,3,"أَن [hafs,shubah]  ||  وَأَن [bazzi,duri,susi]  ||  وَأَنْ [qalun,warsh]"
60644,40,475,33,alif_variant,عاصم,,,,3,"عَاصِمࣲ [hafs,shubah,bazzi,susi]  ||  عَٰصِمࣲ [qalun,warsh]  ||  عَاصِمٖ [duri]"
60707,40,538,36,alif_variant,ٮهمں,,,,2,"يَٰهَٰمَٰنُ [hafs,shubah,bazzi,duri,susi]  ||  يَٰهَامَٰنُ [qalun,warsh]"
60947,40,778,53,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
61093,40,924,64,alif_variant,ڡٮٮارك,,,,2,"فَتَبَارَكَ [hafs,shubah,bazzi,duri,susi]  ||  فَتَبَٰرَكَ [qalun,warsh]"
61761,41,373,29,alif_variant,اصلاٮا,,,,2,"أَضَلَّانَا [hafs,shubah,bazzi,duri,susi]  ||  أَضَلَّٰنَا [qalun,warsh]"
62695,42,513,30,rasm_variant,ڡٮما,,,,2,"فَبِمَا [hafs,shubah,bazzi,duri,susi]  ||  بِمَا [qalun,warsh]"
